2024-12-11 02:10:07,082 INFO     Start to process scenario file: vulnerability_new.txt
2024-12-11 02:10:07,083 INFO     Step1: load threats report.
2024-12-11 02:10:07,083 INFO     - Finished.
2024-12-11 02:10:07,083 INFO     Step2: summarize scenario and get attack behaviors list.
2024-12-11 02:10:08,076 INFO      - Found 7 attack behaviors
2024-12-11 02:10:08,076 INFO     Step3: map every behavior to MITRE ATT&CK Matrix (tactic, technique)
2024-12-11 02:10:10,794 INFO      - Found 2 mapped MITRE ATT&CK tactic
2024-12-11 02:10:10,794 INFO     Step4: verifiy whether the technique can match the scenario
2024-12-11 02:10:12,263 INFO     - Finished.
2024-12-11 02:10:12,263 INFO     Step5: generate the report file
2024-12-11 02:10:12,264 INFO     creatReport(): Report file created: /Users/apple/Desktop/Web-Vulnerability-Scanner/Mitre-Att&ck/src/ReportFolder/vulnerability_new_Atk_2024_12_11_02_10_12.json
